"","hour","topic","n"
"1",2020-03-21 20:00:00,1,71
"2",2020-03-21 20:00:00,2,101
"3",2020-03-21 20:00:00,3,50
"4",2020-03-21 20:00:00,4,113
"5",2020-03-21 21:00:00,1,67
"6",2020-03-21 21:00:00,2,82
"7",2020-03-21 21:00:00,3,43
"8",2020-03-21 21:00:00,4,84
"9",2020-03-21 22:00:00,1,59
"10",2020-03-21 22:00:00,2,57
"11",2020-03-21 22:00:00,3,46
"12",2020-03-21 22:00:00,4,78
"13",2020-03-21 23:00:00,1,56
"14",2020-03-21 23:00:00,2,62
"15",2020-03-21 23:00:00,3,37
"16",2020-03-21 23:00:00,4,80
"17",2020-03-22 00:00:00,1,35
"18",2020-03-22 00:00:00,2,39
"19",2020-03-22 00:00:00,3,51
"20",2020-03-22 00:00:00,4,57
"21",2020-03-22 01:00:00,1,25
"22",2020-03-22 01:00:00,2,34
"23",2020-03-22 01:00:00,3,37
"24",2020-03-22 01:00:00,4,41
"25",2020-03-22 02:00:00,1,23
"26",2020-03-22 02:00:00,2,21
"27",2020-03-22 02:00:00,3,32
"28",2020-03-22 02:00:00,4,35
"29",2020-03-22 03:00:00,1,17
"30",2020-03-22 03:00:00,2,11
"31",2020-03-22 03:00:00,3,22
"32",2020-03-22 03:00:00,4,27
"33",2020-03-22 04:00:00,1,12
"34",2020-03-22 04:00:00,2,15
"35",2020-03-22 04:00:00,3,18
"36",2020-03-22 04:00:00,4,30
"37",2020-03-22 05:00:00,1,24
"38",2020-03-22 05:00:00,2,20
"39",2020-03-22 05:00:00,3,27
"40",2020-03-22 05:00:00,4,30
"41",2020-03-22 06:00:00,1,50
"42",2020-03-22 06:00:00,2,49
"43",2020-03-22 06:00:00,3,29
"44",2020-03-22 06:00:00,4,46
"45",2020-03-22 07:00:00,1,96
"46",2020-03-22 07:00:00,2,85
"47",2020-03-22 07:00:00,3,61
"48",2020-03-22 07:00:00,4,84
"49",2020-03-22 08:00:00,1,152
"50",2020-03-22 08:00:00,2,112
"51",2020-03-22 08:00:00,3,74
"52",2020-03-22 08:00:00,4,94
"53",2020-03-22 09:00:00,1,190
"54",2020-03-22 09:00:00,2,138
"55",2020-03-22 09:00:00,3,100
"56",2020-03-22 09:00:00,4,119
"57",2020-03-22 10:00:00,1,152
