"","hour","misinformation","tweets","bots","intervention","bots_pc"
"1",2020-03-22 16:00:00,248,33888,10513,0,31.0227809254013
"2",2020-03-22 14:00:00,295,30532,9328,0,30.5515524695402
"3",2020-03-22 15:00:00,252,30776,9384,0,30.4912919157785
"4",2020-03-22 17:00:00,321,37438,11642,0,31.0967466210802
"5",2020-03-24 02:00:00,73,5712,2320,1,40.6162464985994
"6",2020-03-24 03:00:00,62,4430,1908,1,43.0699774266366
"7",2020-03-23 23:00:00,214,27884,10362,1,37.1610959690145
"8",2020-03-24 11:00:00,376,34936,13058,1,37.3769177925349
"9",2020-03-24 00:00:00,128,14965,5731,1,38.296024056131
"10",2020-03-24 13:00:00,323,33977,12854,1,37.8314742325691
"11",2020-03-25 00:00:00,0,11473,3884,1,33.8533949272204
"12",2020-03-22 09:00:00,517,34391,10558,0,30.6998924137129
"13",2020-03-24 22:00:00,49,27710,8529,1,30.779501984843
"14",2020-03-24 08:00:00,391,30479,11384,1,37.3503067685948
"15",2020-03-25 18:00:00,0,33765,11416,1,33.8101584480971
"16",2020-03-25 10:00:00,131,41964,13506,1,32.1847297683729
"17",2020-03-23 19:00:00,274,36652,14171,0,38.6636472770927
"18",2020-03-25 11:00:00,381,41635,12590,1,30.2389816260358
"19",2020-03-25 16:00:00,246,35773,10701,1,29.9136220054231
"20",2020-03-22 12:00:00,315,29808,9126,0,30.6159420289855
"21",2020-03-23 13:00:00,317,34493,12747,0,36.9553242686922
"22",2020-03-23 17:00:00,239,37339,14024,0,37.5585848576555
"23",2020-03-25 13:00:00,155,36722,11060,1,30.1181852840259
"24",2020-03-23 10:00:00,298,36218,13466,0,37.1804075321663
"25",2020-03-25 09:00:00,0,33504,10378,1,30.975405921681
"26",2020-03-24 14:00:00,361,32180,12145,1,37.7408328154133
"27",2020-03-25 12:00:00,388,38741,11876,1,30.6548617743476
"28",2020-03-25 14:00:00,123,34900,10710,1,30.6876790830946
"29",2020-03-22 13:00:00,293,29335,8894,0,30.3187318902335
"30",2020-03-24 21:00:00,198,31222,9601,1,30.7507526743963
